date,suburb,tmin,tmax,prcp,humidity_mean,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-09-30,Parramatta,8.0,21.2,0.0,45.60107,13.2,9,0,0,0
2020-10-01,Parramatta,13.5,25.7,1.0,58.69221,12.2,10,0,1,0
2020-10-02,Parramatta,8.2,28.7,0.0,60.005634,20.5,10,0,1,0
2020-10-03,Parramatta,9.3,30.0,0.0,45.199253,20.7,10,0,1,0
2020-10-04,Parramatta,12.6,32.2,0.0,65.8971,19.6,10,0,1,0
2020-10-05,Parramatta,13.0,33.3,0.0,73.827034,20.299999999999997,10,0,1,0
2020-10-06,Parramatta,16.3,20.3,0.0,68.566536,4.0,10,0,0,0
2020-10-07,Parramatta,15.3,21.5,0.0,59.607166,6.199999999999999,10,0,0,0
2020-10-08,Parramatta,14.3,29.4,0.6,62.147602,15.099999999999998,10,0,1,0
2020-10-09,Parramatta,10.8,23.0,0.0,51.033245,12.2,10,0,0,0
2020-10-10,Parramatta,9.7,26.8,0.0,59.09402,17.1,10,0,1,0
2020-10-11,Parramatta,9.5,28.0,0.0,57.20934,18.5,10,0,1,0
2020-10-12,Parramatta,15.8,25.7,0.0,59.888794,9.899999999999999,10,0,1,0
2020-10-13,Parramatta,12.0,29.8,0.0,42.637043,17.8,10,0,1,0
2020-10-14,Parramatta,15.3,22.8,0.0,44.44426,7.5,10,0,0,0
2020-10-15,Parramatta,12.6,30.3,0.0,54.39204,17.700000000000003,10,0,1,0
2020-10-16,Parramatta,16.7,20.2,0.0,61.234863,3.5,10,0,0,0
2020-10-17,Parramatta,14.5,30.0,0.0,71.544495,15.5,10,0,1,0
2020-10-18,Parramatta,16.3,25.3,2.4,38.35655,9.0,10,0,0,0
2020-10-19,Parramatta,14.5,21.5,4.0,37.185524,7.0,10,0,0,0
2020-10-20,Parramatta,15.2,22.2,0.0,46.394,7.0,10,0,0,0
2020-10-21,Parramatta,10.8,25.0,0.0,48.45801,14.2,10,0,0,0
2020-10-22,Parramatta,12.8,25.8,0.0,65.48867,13.0,10,0,1,0
2020-10-23,Parramatta,13.8,29.4,0.0,63.273872,15.599999999999998,10,0,1,0
2020-10-24,Parramatta,17.0,24.6,6.6,47.301258,7.600000000000001,10,0,0,0
2020-10-25,Parramatta,12.5,15.7,20.0,63.804077,3.1999999999999993,10,0,0,0
2020-10-26,Parramatta,12.0,14.9,26.0,41.13991,2.9000000000000004,10,0,0,0
